sysid,sum_min,num_trip,pct_ttl_num_trips,yroverchange,year,assigned_month
29,0,0,0,0,2019,12
25,0,0,0,0,2019,12
25,0,0,0,0,2019,12
25,0,0,0,0,2019,12
3,11001866.42,953531,0.559714323,,2019,12
3,0,0,0,0,2019,12
3,0,0,0,0,2019,12
1,0,0,0,0,2019,12
1,1170153.233,91890,0.053938623,,2019,12
1,0,0,0,0,2019,12
9999,0,0,0,0,2020,1
9999,0,0,0,0,2020,1
9999,201349.9333,26595,0.012539387,0.323595282,2020,1
74,34457.2,2315,0.008469677,-0.339514979,2020,1
74,74621.96667,5622,0.057916967,-0.236245075,2020,1
74,74832.21667,4529,0.002135397,-0.250785773,2020,1
73,23487,786,0.008097249,,2020,1
73,410284,29653,0.013981217,0.379401777,2020,1
73,3213,247,0.000903676,,2020,1
60,0,0,0,0,2020,1
60,0,0,0,0,2020,1
60,1610957.083,145250,0.068484528,0.380480341,2020,1
58,0,0,0,0,2020,1
58,8784.566667,720,0.000339476,-0.156908665,2020,1
58,0,0,0,0,2020,1
56,0,0,0,0,2020,1
56,2510480.033,201842,0.095167326,0.335596361,2020,1
56,0,0,0,0,2020,1
54,0,0,0,0,2020,1
54,0,0,0,0,2020,1
54,77250,3018,0.001422969,0.934615385,2020,1
53,0,0,0,0,2020,1
53,0,0,0,0,2020,1
53,116278,4855,0.002289104,-0.496734736,2020,1
43,0,0,0,0,2020,1
43,611516,42109,0.019854148,0.381075763,2020,1
43,0,0,0,0,2020,1
4,3467798,270766,0.990626646,,2020,1
4,1105765.733,90662,0.933985783,,2020,1
4,3027730.133,253268,0.119414385,-0.360298649,2020,1
29,0,0,0,0,2020,1
29,49031,3199,0.00150831,0.935269208,2020,1
29,0,0,0,0,2020,1
25,0,0,0,0,2020,1
25,0,0,0,0,2020,1
25,0,0,0,0,2020,1
3,0,0,0,0,2020,1
